Ticker,Earnings Date,Time (ET),Session,Suggested Strategy,Hist. Win Rate (%),Avg Move (%)
AMZN,2026-07-30,04:00 PM,After-Hours (AMC),No specific pattern,N/A,6.39%
AES,2026-07-30,04:00 PM,After-Hours (AMC),Iron Condor (±5%),91.7%,1.76%
COIN,2026-07-30,04:00 PM,After-Hours (AMC),Bull Put Spread (-5%),91.7%,4.36%
AAPL,2026-07-30,04:00 PM,After-Hours (AMC),Bull Put Spread (-5%),100.0%,2.84%
XOM,2026-07-31,08:00 AM,Pre-Market (BMO),Iron Condor (±5%),100.0%,1.19%
CVX,2026-07-31,08:00 AM,Pre-Market (BMO),Iron Condor (±5%),100.0%,1.33%
ON,2026-08-03,08:00 AM,Pre-Market (BMO),No specific pattern,N/A,4.34%
PLTR,2026-08-03,04:00 PM,After-Hours (AMC),No specific pattern,N/A,11.96%
MRK,2026-08-04,08:00 AM,Pre-Market (BMO),Bear Call Spread (+5%),100.0%,3.04%
ZTS,2026-08-04,08:00 AM,Pre-Market (BMO),No specific pattern,N/A,5.70%
MOS,2026-08-04,08:00 AM,Pre-Market (BMO),Bull Put Spread (-5%),91.7%,2.89%
DVN,2026-08-04,04:00 PM,After-Hours (AMC),Bear Call Spread (+5%),100.0%,2.36%
ANET,2026-08-04,04:00 PM,After-Hours (AMC),No specific pattern,N/A,8.37%
AMD,2026-08-04,04:00 PM,After-Hours (AMC),No specific pattern,N/A,6.27%
SMCI,2026-08-04,04:00 PM,After-Hours (AMC),No specific pattern,N/A,12.09%
DIS,2026-08-05,08:00 AM,Pre-Market (BMO),No specific pattern,N/A,5.68%
UBER,2026-08-05,08:00 AM,Pre-Market (BMO),No specific pattern,N/A,3.82%
OXY,2026-08-05,04:00 PM,After-Hours (AMC),Bull Put Spread (-5%),91.7%,2.49%
VTRS,2026-08-06,08:00 AM,Pre-Market (BMO),Bull Put Spread (-5%),91.7%,4.01%
KVUE,2026-08-06,08:00 AM,Pre-Market (BMO),Bull Put Spread (-5%),100.0%,4.58%
MCHP,2026-08-06,04:00 PM,After-Hours (AMC),Bear Call Spread (+5%),91.7%,4.37%
TTD,2026-08-06,04:00 PM,After-Hours (AMC),No specific pattern,N/A,13.89%
WBD,2026-08-06,04:00 PM,After-Hours (AMC),No specific pattern,N/A,5.13%
GEN,2026-08-06,04:00 PM,After-Hours (AMC),Bull Put Spread (-5%),91.7%,4.61%
CSCO,2026-08-12,04:00 PM,After-Hours (AMC),No specific pattern,N/A,5.50%
AMAT,2026-08-13,04:00 PM,After-Hours (AMC),No specific pattern,N/A,6.24%
MDT,2026-08-18,08:00 AM,Pre-Market (BMO),Bear Call Spread (+5%),100.0%,2.97%
PANW,2026-08-18,04:00 PM,After-Hours (AMC),No specific pattern,N/A,7.02%
WMT,2026-08-20,08:00 AM,Pre-Market (BMO),No specific pattern,N/A,4.21%
NVDA,2026-08-26,04:00 PM,After-Hours (AMC),Bull Put Spread (-5%),100.0%,3.85%
HPQ,2026-08-26,04:00 PM,After-Hours (AMC),Bear Call Spread (+5%),100.0%,4.57%
CRM,2026-09-02,04:00 PM,After-Hours (AMC),No specific pattern,N/A,5.58%
CPRT,2026-09-03,04:00 PM,After-Hours (AMC),Bear Call Spread (+5%),91.7%,3.17%
HPE,2026-09-03,04:00 PM,After-Hours (AMC),No specific pattern,N/A,9.41%
DELL,2026-09-03,04:00 PM,After-Hours (AMC),No specific pattern,N/A,12.35%
AVGO,2026-09-03,04:00 PM,After-Hours (AMC),No specific pattern,N/A,7.68%
